"dates","D3GasFlow_withcorrectednegatives","D3HeadspacePressure","D3Level","D3MixerPower","D3Temp","Plantpowerout","Digesterfeedflowrate","Feedpumppressure","Pasteuriserpumppressure","D3GasFlow_withcorrectednegatives_ROC","D3HeadspacePressure_ROC","D3Level_ROC","D3MixerPower_ROC","D3Temp_ROC","Plantpowerout_ROC","Digesterfeedflowrate_ROC","Feedpumppressure_ROC","Pasteuriserpumppressure_ROC","FoamAssoc"
"01/08/2015 00:00",449.01,14.96,96.76,7.54,39.89,3618.96,10.036,1.104,1.427,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 01:00",424.19,14.42,96.73,7.49,39.87,3396.19,10.995,1.267,1.391,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 02:00",403.62,14.08,96.7,7.55,39.84,3270.93,10.735,1.308,1.333,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 03:00",380.15,13.61,96.66,7.79,39.82,3326.52,6.984,0.92,1.186,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 04:00",376.69,13.43,96.71,7.88,39.81,3101.39,8.778,1.187,1.344,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 05:00",370.1,13.14,96.91,7.7,39.8,2975.35,10.086,1.219,1.378,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 06:00",367.16,13.16,96.62,7.72,39.77,3253.72,10.993,1.096,1.319,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 07:00",347.14,12.69,96.18,7.88,39.79,3058.46,10.672,1.218,1.352,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 08:00",361.56,12.9,95.79,7.84,39.75,3209.68,10.737,1.175,1.163,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 09:00",367.88,13.03,95.53,7.81,39.73,3504.42,9.927,1.117,1.09,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 10:00",383.16,12.86,95.7,7.78,39.7,3246.19,10.994,1.278,1.059,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 11:00",419.97,13.75,95.96,7.91,39.71,2919.89,10.741,1.198,1.044,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 12:00",406.06,13.45,95.94,7.93,39.73,3407.66,10.496,1.129,1.29,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 13:00",409.88,13.48,95.93,7.95,39.75,3401.68,10.605,1.166,1.204,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 14:00",457.29,14.41,95.98,7.96,39.73,3425.23,10.646,1.178,1.135,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 15:00",428.49,13.92,95.98,7.88,39.76,3446.96,10.732,1.259,1.108,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 16:00",433.62,13.99,96.25,7.88,39.79,2946.38,10.467,1.26,1.096,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 17:00",419.72,13.82,96.3,7.99,39.8,3447.75,10.988,1.184,1.239,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 18:00",393.6,13.35,96.26,8.08,39.82,3097.43,10.297,1.132,1.255,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 19:00",372.66,13.05,96.24,8.14,39.83,2905.26,10.678,1.27,1.073,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 20:00",354.38,12.9,96.21,8.18,39.84,2875.56,10.992,1.364,1.248,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 21:00",346.13,12.74,96.32,8.12,39.84,2911.04,10.673,1.458,1.298,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 22:00",331.92,12.44,96.52,8.27,39.85,2905.01,10.105,1.208,1.274,0,0,0,0,0,0,0,0,0,"0"
"01/08/2015 23:00",321.11,12.32,96.52,8.25,39.88,3374.83,10.737,1.164,1.268,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 00:00",312.08,12.11,96.49,8.34,39.88,2749.65,0.744,0.412,1.268,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 01:00",309.82,11.78,96.48,8.41,39.87,2621.83,0,0.338,0.733,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 02:00",302.44,11.59,96.46,8.44,39.84,2444.32,5.131,0.793,0.684,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 03:00",298.74,11.69,96.46,8.52,39.85,2462.52,10.731,1.341,1.01,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 04:00",291.27,11.71,96.46,8.65,39.84,2695.07,10.978,1.378,1.391,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 05:00",296.86,11.8,96.57,8.71,39.84,2844.36,10.038,1.389,1.304,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 06:00",306.81,12.01,96.85,8.62,39.81,2444.31,10.743,1.316,1.237,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 07:00",339.88,12.66,96.92,8.4,39.8,2880.82,10.404,1.197,1.284,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 08:00",493.5,15.28,96.83,8.29,39.81,2933.86,10.991,1.36,1.289,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 09:00",461.24,14.88,96.68,8.39,39.84,3151.44,9.877,1.257,1.267,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 10:00",436.63,14.41,96.42,8.38,39.83,3393.49,10.06,1.303,1.24,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 11:00",441.83,14.09,96.46,8.06,39.81,3655.36,10.993,1.548,1.534,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 12:00",396.36,13.28,96.46,8.13,39.82,3234.23,8.808,1.132,1.641,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 13:00",374.48,12.96,96.05,8.29,39.8,3511.64,9.226,1.131,1.527,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 14:00",346.64,12.49,95.6,8.11,39.81,3502.06,10.993,1.35,1.55,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 15:00",322.75,12.18,95.16,8.04,39.83,3485.45,10.731,1.392,1.545,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 16:00",327.03,12.51,95.08,8.07,39.85,2934.29,9.294,1.36,1.509,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 17:00",323.59,12.08,95.28,8.05,39.83,2964.41,10.459,1.487,1.498,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 18:00",309.54,12.12,95.42,8.01,39.83,2788.38,10.298,1.19,1.445,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 19:00",309.72,12.43,95.44,8.03,39.83,2706.77,10.732,1.298,1.443,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 20:00",297.67,12.2,95.42,8.07,39.82,2968,9.806,1.322,1.342,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 21:00",299.18,12.46,95.42,8.01,39.82,3027.16,10.995,1.422,1.292,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 22:00",296.05,12.29,95.47,8.05,39.81,3064.93,9.788,1.362,1.202,0,0,0,0,0,0,0,0,0,"0"
"02/08/2015 23:00",342.06,13.02,95.79,8.05,39.83,3069.71,10.734,1.388,1.128,0,0,0,0,0,0,0,0,0,"0"
"03/08/2015 00:00",368.67,13.66,95.91,7.86,39.82,3064.12,10.997,1.272,1.144,0,0,0,0,0,0,0,0,0,"0"
"03/08/2015 01:00",373.27,13.7,95.9,7.81,39.83,3069.83,9.933,1.268,1.152,0,0,0,0,0,0,0,0,0,"0"
"03/08/2015 02:00",383.04,14.01,95.91,7.7,39.83,3070.29,9.73,1.242,1.166,-65.97,-0.950000000000001,-0.850000000000009,0.16,-0.0600000000000023,-548.67,-0.305999999999999,0.138,-0.261,"0"
"03/08/2015 03:00",377.86,14.04,95.9,7.74,39.83,3071.76,10.731,1.318,1.177,-46.33,-0.380000000000001,-0.829999999999998,0.25,-0.0399999999999991,-324.43,-0.263999999999999,0.0510000000000002,-0.214,"0"
"03/08/2015 04:00",404.29,14.27,96.06,7.78,39.83,3070.51,10.993,1.441,1.195,0.670000000000016,0.19,-0.640000000000001,0.23,-0.0100000000000051,-200.42,0.258000000000001,0.133,-0.138,"0"
"03/08/2015 05:00",413.47,14.47,96.28,7.83,39.82,3070.41,9.948,1.184,1.207,33.3200000000001,0.860000000000001,-0.379999999999995,0.04,0,-256.11,2.964,0.264,0.0210000000000001,"0"
"03/08/2015 06:00",411.89,14.6,96.3,7.67,39.82,3172.65,9.525,1.059,1.224,35.2,1.17,-0.409999999999997,-0.21,0.00999999999999801,71.2600000000002,0.747,-0.128,-0.12,"0"
"03/08/2015 07:00",406.52,14.32,96.26,7.67,39.82,3352.46,10.992,1.28,1.219,36.42,1.18,-0.649999999999991,-0.0300000000000002,0.0200000000000031,377.11,0.906000000000001,0.0609999999999999,-0.159,"0"
"03/08/2015 08:00",418.23,14.56,96.28,7.59,39.82,3419.38,10.729,1.282,1.222,51.07,1.4,-0.340000000000003,-0.13,0.0499999999999972,165.66,-0.264000000000001,0.186,-0.097,"0"
"03/08/2015 09:00",431.61,14.79,96.28,7.69,39.8,3943.4,9.891,1.249,1.256,84.47,2.1,0.0999999999999943,-0.19,0.00999999999999801,884.94,-0.781000000000001,0.0310000000000001,-0.0960000000000001,"0"
"03/08/2015 10:00",487.44,15.3,96.53,7.58,39.8,4272.79,10.996,1.42,1.348,125.88,2.4,0.739999999999995,-0.26,0.0499999999999972,1063.11,0.259,0.245,0.185,"0"
"03/08/2015 11:00",559.92,16.45,96.75,7.64,39.82,4257.79,9.813,1.015,1.331,192.04,3.42,1.22,-0.17,0.0900000000000034,753.37,-0.113999999999999,-0.102,0.241,"0"
"03/08/2015 12:00",545.48,16.71,96.75,7.7,39.84,4255.8,10.732,1.16,1.356,162.32,3.85,1.05,-0.0800000000000001,0.140000000000001,1009.61,-0.262,-0.118,0.297,"0"
"03/08/2015 13:00",544.54,16.86,96.75,7.45,39.86,4233.34,9.835,1.214,1.374,124.57,3.11,0.790000000000006,-0.46,0.149999999999999,1313.45,-0.905999999999999,0.016,0.33,"0"
"03/08/2015 14:00",531.98,16.72,96.72,7.46,39.88,4234.75,10.915,1.322,1.398,125.92,3.27,0.780000000000001,-0.47,0.150000000000006,827.09,0.418999999999999,0.193,0.108,"0"
"03/08/2015 15:00",550.51,17.23,96.8,7.45,39.88,4240.41,9.726,1.266,1.457,140.63,3.75,0.86999999999999,-0.5,0.130000000000003,838.73,-0.879,0.1,0.253,"0"
"03/08/2015 16:00",566.29,17.18,97.03,7.59,39.89,3925.01,10.738,1.336,1.402,109,2.77,1.05,-0.37,0.160000000000004,499.78,0.0919999999999987,0.158,0.267,"0"
"03/08/2015 17:00",540.96,17.08,96.86,7.57,39.91,3484.3,10.993,1.119,1.419,112.47,3.16,0.879999999999995,-0.31,0.149999999999999,37.3400000000001,0.261000000000001,-0.14,0.311,"0"
"03/08/2015 18:00",531.61,16.62,96.55,7.54,39.93,3167.88,2.54,0.572,1.027,97.99,2.63,0.299999999999997,-0.34,0.140000000000001,221.5,-7.927,-0.688,-0.0690000000000002,"0"
"03/08/2015 19:00",534.85,16.61,96.52,7.48,39.93,3143.74,10.997,1.292,1.484,115.13,2.79,0.219999999999999,-0.51,0.130000000000003,-304.01,0.00900000000000034,0.108,0.245,"0"
"03/08/2015 20:00",491.43,15.67,96.45,7.62,39.93,3105.25,9.874,1.238,1.392,97.83,2.32,0.189999999999998,-0.46,0.109999999999999,7.82000000000016,-0.423,0.106,0.137,"0"
"03/08/2015 21:00",458.36,15.12,96.41,7.77,39.94,3263.29,10.737,1.34,1.322,85.7,2.07,0.170000000000002,-0.370000000000001,0.109999999999999,358.03,0.0589999999999993,0.0700000000000001,0.249,"0"
"03/08/2015 22:00",453.28,14.75,96.59,7.81,39.93,2948.48,10.985,1.497,1.327,98.9,1.85,0.38000000000001,-0.37,0.0899999999999963,72.9200000000001,-0.00700000000000145,0.133,0.079,"0"
"03/08/2015 23:00",541.54,17.34,96.87,7.72,39.92,3113.19,10.279,1.205,1.291,195.41,4.6,0.550000000000011,-0.399999999999999,0.0799999999999983,202.15,-0.394,-0.253,-0.00700000000000012,"0"
"04/08/2015 00:00",583.54,17.6,96.49,7.97,39.94,3734.52,9.775,1.161,1.313,251.62,5.16,-0.0300000000000011,-0.3,0.0899999999999963,829.51,-0.33,-0.0469999999999999,0.0389999999999999,"0"
"04/08/2015 01:00",553.36,17.03,96.01,7.94,39.93,3530.81,10.729,1.3,1.249,232.25,4.71,-0.509999999999991,-0.31,0.0499999999999972,155.98,-0.0080000000000009,0.136,-0.0189999999999999,"0"
"04/08/2015 02:00",525.78,16.55,95.62,7.75,39.94,3692.55,10.991,1.4,1.263,213.7,4.44,-0.86999999999999,-0.59,0.0599999999999952,942.9,10.247,0.988,-0.00500000000000012,"0"
"04/08/2015 03:00",495.66,16.11,95.42,8.03,39.94,3543.87,10.021,1.378,1.227,185.84,4.33,-1.06,-0.380000000000001,0.0700000000000003,922.04,10.021,1.04,0.494,"0"
"04/08/2015 04:00",472.18,15.46,95.58,8.03,39.91,3295.81,9.979,1.334,1.182,169.74,3.87,-0.879999999999995,-0.41,0.0699999999999932,851.49,4.848,0.541,0.498,"0"
"04/08/2015 05:00",429.4,14.78,95.34,8.15,39.9,3488.99,10.995,1.164,1.107,130.66,3.09,-1.11999999999999,-0.369999999999999,0.0499999999999972,1026.47,0.263999999999999,-0.177,0.097,"0"
"04/08/2015 06:00",414.17,14.44,95.05,7.83,39.87,3455.03,10.738,1.295,1.092,122.9,2.73,-1.41,-0.82,0.029999999999994,759.96,-0.24,-0.083,-0.299,"0"
"04/08/2015 07:00",397.18,14.06,95,7.63,39.84,3308.35,10.068,1.289,1.125,100.32,2.26,-1.56999999999999,-1.08,0,463.99,0.0299999999999994,-0.1,-0.179,"0"
"04/08/2015 08:00",383.19,13.8,94.96,7.64,39.83,3634.03,10.587,1.323,1.165,76.38,1.79,-1.89,-0.98,0.019999999999996,1189.72,-0.156000000000001,0.0069999999999999,-0.0720000000000001,"0"
"04/08/2015 09:00",377.71,13.58,95.05,7.83,39.79,3223.53,9.865,1.308,1.234,37.83,0.92,-1.87,-0.57,-0.00999999999999801,342.71,-0.539,0.111,-0.05,"0"
"04/08/2015 10:00",415.81,14.19,95.34,8.07,39.8,3046.9,10.734,1.248,1.289,-77.69,-1.09,-1.48999999999999,-0.219999999999999,-0.0100000000000051,113.04,-0.257,-0.112,0,"0"
"04/08/2015 11:00",430.96,14.66,95.4,8.1,39.8,3136.06,9.077,1.003,1.303,-30.28,-0.220000000000001,-1.28,-0.290000000000001,-0.0400000000000063,-15.3800000000001,-0.800000000000001,-0.254,0.036,"0"
"04/08/2015 12:00",427.84,13.87,95.32,7.92,39.79,3562.47,0.813,0.439,0.833,-8.79000000000002,-0.540000000000001,-1.10000000000001,-0.460000000000001,-0.0399999999999991,168.98,-9.247,-0.864,-0.407,"0"
"04/08/2015 13:00",422.56,13.86,95.3,7.59,39.78,3863.41,10.998,1.323,1.556,-19.27,-0.23,-1.16,-0.470000000000001,-0.0300000000000011,208.05,0.00499999999999901,-0.225,0.022,"0"
"04/08/2015 14:00",409.65,13.85,95.28,7.69,39.79,3431.13,10.734,1.313,1.524,13.29,0.57,-1.17999999999999,-0.44,-0.0300000000000011,196.9,1.926,0.181,-0.117,"0"
"04/08/2015 15:00",396.72,13.7,95.27,7.56,39.78,3306.25,9.831,1.282,1.465,22.24,0.739999999999998,-0.780000000000001,-0.73,-0.019999999999996,-205.39,0.604999999999999,0.151,-0.0619999999999998,"0"
"04/08/2015 16:00",397.11,13.63,95.48,7.71,39.79,2922.82,10.985,1.486,1.478,50.47,1.14,-0.11999999999999,-0.399999999999999,-0.0200000000000031,-579.24,-0.0080000000000009,0.136,-0.0720000000000001,"0"
"04/08/2015 17:00",394.43,13.61,95.65,7.69,39.79,3263.23,10.734,1.182,1.465,71.68,1.43,0.490000000000009,-0.349999999999999,-0.0399999999999991,-222.22,0.00300000000000011,-0.21,-0.0799999999999998,"0"
"04/08/2015 18:00",382.53,13.35,95.62,7.77,39.78,3290.08,10.734,1.233,1.435,55.5,0.84,0.540000000000006,-0.300000000000001,-0.0700000000000003,355.79,1.44,-0.127,-0.0739999999999998,"0"
"04/08/2015 19:00",368.91,13.2,95.6,7.78,39.79,3191.88,9.892,1.261,1.4,45.3200000000001,1.12,0.319999999999993,-0.27,-0.0399999999999991,227.47,-0.567,-0.226,-0.0980000000000001,"0"
"04/08/2015 20:00",366.67,13.39,95.6,7.82,39.8,3155.49,10.991,1.384,1.357,57.13,1.27,0.179999999999993,-0.19,-0.0300000000000011,367.11,0.693,0.194,-0.0880000000000001,"0"
"04/08/2015 21:00",370.41,13.3,95.67,7.98,39.81,3467.21,10.729,1.429,1.368,60.69,0.870000000000001,0.230000000000004,-0.0499999999999989,-0.019999999999996,760.44,-0.00300000000000011,0.131,-0.075,"0"
"04/08/2015 22:00",407.85,13.67,95.95,7.87,39.8,3219.23,6.825,1.052,1.143,110.18,1.47,0.530000000000001,-0.2,-0.0200000000000031,251.23,-2.981,-0.27,-0.199,"0"
"04/08/2015 23:00",414.91,13.81,96,7.71,39.79,3157.35,5.176,0.752,1.147,115.73,1.35,0.579999999999998,-0.3,-0.0300000000000011,130.19,-5.819,-0.67,-0.145,"0"
"05/08/2015 00:00",423.5,14.03,96.01,7.77,39.79,3479.97,9.573,1.097,1.406,127.45,1.74,0.540000000000006,-0.280000000000001,-0.0200000000000031,415.04,-0.215,-0.265,0.204,"0"
"05/08/2015 01:00",418.71,14.01,95.99,7.71,39.81,3358.1,10.992,1.399,1.338,76.65,0.99,0.199999999999989,-0.340000000000001,-0.019999999999996,288.39,0.258000000000001,0.0110000000000001,0.21,"0"
"05/08/2015 02:00",413.07,13.96,95.98,7.73,39.8,3410.15,10.736,1.357,1.302,44.4,0.300000000000001,0.0700000000000074,-0.13,-0.0200000000000031,346.03,-0.260999999999999,0.085,0.158,"0"
"05/08/2015 03:00",409.75,14.05,95.97,7.75,39.8,3488.32,7.888,1.081,1.183,36.48,0.350000000000001,0.0699999999999932,-0.0599999999999996,-0.0300000000000011,418.49,-2.045,-0.187,0.0310000000000001,"0"
"05/08/2015 04:00",399.89,13.82,95.97,7.85,39.81,3388.11,4.217,0.794,1.068,16.85,-0.19,0.0600000000000023,0.149999999999999,-0.019999999999996,317.82,-5.513,-0.448,-0.0979999999999999,"0"
"05/08/2015 05:00",432.05,14.31,96.24,7.74,39.81,3340.97,10.176,1.42,1.38,54.19,0.270000000000001,0.339999999999989,0,-0.019999999999996,269.21,-0.555,0.102,0.203,"0"
"05/08/2015 06:00",438.76,14.47,96.38,7.72,39.8,3481.79,10.281,1.177,1.276,34.47,0.200000000000001,0.319999999999993,-0.0600000000000005,-0.0300000000000011,411.28,-0.712,-0.264,0.081,"0"
"05/08/2015 07:00",433.31,14.59,96.38,7.76,39.79,3077.59,10.722,1.296,1.27,19.84,0.119999999999999,0.0999999999999943,-0.0700000000000003,-0.0300000000000011,7.18000000000029,0.773999999999999,0.112,0.0629999999999999,"0"
"05/08/2015 08:00",429.62,14.4,96.34,7.7,39.79,3392.62,10.691,1.307,1.308,17.73,-0.199999999999999,0.0400000000000063,0.0300000000000002,-0.0300000000000011,219.97,1.166,0.248,0.0840000000000001,"0"
"05/08/2015 09:00",424.86,14.36,96.32,7.66,39.8,3655.71,10.991,1.383,1.322,18.34,0.0399999999999991,0.0599999999999881,-0.00999999999999979,-0.0200000000000031,303.25,-0.00100000000000122,0.103,0.103,"0"
"05/08/2015 10:00",430.71,14.68,96.41,7.64,39.79,3339.84,9.758,1.387,1.318,12.48,0.119999999999999,0.129999999999995,0.0499999999999998,-0.0300000000000011,-79.54,-0.971,0.105,0.0960000000000001,"0"
"05/08/2015 11:00",448.14,14.73,96.67,7.64,39.76,3298.99,10.728,1.413,1.34,16.53,-0.0599999999999987,0.390000000000001,-0.0500000000000007,-0.0399999999999991,-644.41,0.837,0.164,0.0840000000000001,"0"
"05/08/2015 12:00",445.86,14.77,96.72,7.78,39.77,3546.77,10.994,1.187,1.404,-41.58,-0.530000000000001,0.189999999999998,0.2,-0.029999999999994,-726.02,-0.00200000000000067,-0.233,0.0559999999999998,"0"
"05/08/2015 13:00",442.91,14.69,96.7,7.91,39.76,3899.47,10.736,1.35,1.433,-117.01,-1.76,-0.0499999999999972,0.27,-0.0600000000000023,-358.32,0.923,0.335,0.102,"0"
"05/08/2015 14:00",419.31,14.33,96.67,7.76,39.78,3041.1,9.815,1.29,1.39,-126.17,-2.38,-0.0799999999999983,0.0599999999999996,-0.0600000000000023,-1214.7,-0.917,0.13,0.0339999999999998,"0"
"05/08/2015 15:00",407.42,14.32,96.68,7.81,39.78,3490.47,10.729,1.413,1.379,-137.12,-2.54,-0.0699999999999932,0.359999999999999,-0.0799999999999983,-742.87,0.893999999999998,0.199,0.00499999999999989,"0"
"05/08/2015 16:00",451.85,14.9,96.92,7.64,39.77,3560.81,10.993,1.473,1.431,-80.13,-1.82,0.200000000000003,0.18,-0.109999999999999,-673.94,0.0780000000000012,0.151,0.0330000000000001,"0"
"05/08/2015 17:00",552.15,17.81,97.14,7.57,39.78,3711.61,5.326,0.809,1.232,1.63999999999999,0.579999999999998,0.340000000000003,0.12,-0.100000000000001,-528.8,-4.4,-0.457,-0.225,"0"
"05/08/2015 18:00",601.13,20.45,96.85,7.84,39.82,3933.86,10.598,1.172,1.537,34.84,3.27,-0.180000000000007,0.25,-0.0700000000000003,8.84999999999991,-0.139999999999999,-0.164,0.135,"0"
"05/08/2015 19:00",601.13,19.81,96.33,7.86,39.83,3937.84,10.148,1.291,1.447,60.17,2.73,-0.530000000000001,0.29,-0.0799999999999983,453.54,-0.845000000000001,0.172,0.028,"0"
"05/08/2015 20:00",600.87,19.33,95.86,7.63,39.84,4032.22,10.738,1.364,1.435,69.26,2.71,-0.689999999999998,0.0899999999999999,-0.0899999999999963,864.34,8.198,0.792,0.408,"0"
"05/08/2015 21:00",599.73,19.08,95.56,7.59,39.84,4184.31,10.731,1.347,1.433,64.88,2.47,-0.959999999999994,0.109999999999999,-0.0899999999999963,1040.57,-0.266,0.0549999999999999,-0.0509999999999999,"0"
"05/08/2015 22:00",590.76,18.36,95.58,7.63,39.86,4218.39,10.992,1.47,1.453,99.33,2.69,-0.870000000000005,0.00999999999999979,-0.0700000000000003,1113.14,1.118,0.232,0.0610000000000002,"0"
"05/08/2015 23:00",550.15,17.59,95.6,7.57,39.84,4218.18,9.695,1.159,1.406,91.79,2.47,-0.810000000000002,-0.199999999999999,-0.0999999999999943,954.89,-1.042,-0.181,0.0839999999999999,"0"
"06/08/2015 00:00",527.33,17.08,95.19,7.6,39.82,3904.42,10.729,1.256,1.386,74.0500000000001,2.33,-1.40000000000001,-0.21,-0.109999999999999,955.94,-0.256,-0.241,0.0589999999999999,"0"
"06/08/2015 01:00",502.32,16.23,94.97,7.62,39.82,3835.05,10.76,1.302,1.386,-39.22,-1.11,-1.90000000000001,-0.0999999999999996,-0.100000000000001,721.86,0.481,0.097,0.095,"0"
"06/08/2015 02:00",470.72,15.38,94.9,7.65,39.81,3689.07,0.082,0.396,0.835,-112.82,-2.22,-1.58999999999999,-0.319999999999999,-0.129999999999995,-45.4499999999998,-9.693,-0.765,-0.478,"0"
"06/08/2015 03:00",439.33,14.92,94.88,7.72,39.8,3428.51,10.994,1.364,1.46,-114.03,-2.11,-1.13000000000001,-0.220000000000001,-0.130000000000003,-102.3,0.265000000000001,0.0640000000000001,0.211,"0"
"06/08/2015 04:00",422.3,14.32,94.86,7.77,39.78,3495.39,10.242,1.374,1.378,-103.48,-2.23,-0.760000000000005,0.0199999999999996,-0.159999999999997,-197.16,-0.748999999999999,-0.0259999999999998,0.115,"0"
"06/08/2015 05:00",414.75,13.96,95.09,7.9,39.77,3370.16,10.235,1.337,1.338,-80.91,-2.15,-0.329999999999998,-0.129999999999999,-0.169999999999995,-173.71,0.213999999999999,-0.0409999999999999,0.111,"0"
"06/08/2015 06:00",399.11,13.91,95.15,7.91,39.75,3503.04,10.994,1.152,1.302,-73.07,-1.55,-0.429999999999993,-0.119999999999999,-0.159999999999997,207.23,1.015,-0.182,0.12,"0"
"06/08/2015 07:00",408.69,14.12,95.16,7.9,39.74,2887.53,10.727,1.31,1.274,-20.71,-0.66,-0.180000000000007,-0.25,-0.159999999999997,-601.46,-0.267999999999999,0.146,0.167,"0"
"06/08/2015 08:00",404.91,13.72,95.12,7.89,39.73,3822.14,5.76,0.894,1.097,-9.25999999999999,-0.719999999999999,0.0700000000000074,0.0599999999999996,-0.140000000000001,367.11,-4.978,-0.401,0.00499999999999989,"0"
"06/08/2015 09:00",403.57,13.7,95.11,7.79,39.71,3392.79,6.374,0.948,1.23,6.38999999999999,-0.360000000000001,0.109999999999999,0.16,-0.130000000000003,84.4400000000001,-3.694,-0.341,0.105,"0"
"06/08/2015 10:00",403.28,13.81,95.12,7.87,39.68,3477.58,10.016,1.32,1.425,20.09,0.00999999999999979,0.160000000000011,0.23,-0.149999999999999,-156.45,-0.571,-0.00299999999999989,0.26,"0"
"06/08/2015 11:00",418.12,13.82,95.29,7.98,39.67,3337.76,10.992,1.448,1.371,40.41,0.24,0.240000000000009,0.15,-0.119999999999997,114.23,1.127,0.14,0.137,"0"
"06/08/2015 12:00",443.66,14.36,95.5,8.07,39.66,3253.68,10.731,1.247,1.309,27.85,0.17,0.159999999999997,0,-0.140000000000001,206.78,-0.00300000000000011,-0.00099999999999989,0.02,"0"
"06/08/2015 13:00",451.65,14.5,95.5,8.02,39.66,3883.52,10.093,1.248,1.42,20.69,-0.16,0.0999999999999943,-0.0800000000000001,-0.140000000000001,747.46,1.016,0.245,0.117,"0"
"06/08/2015 14:00",442.9,14.26,95.48,8.07,39.64,3075.73,10.251,1.303,1.393,15.06,0.390000000000001,0.160000000000011,0.15,-0.149999999999999,-486.74,9.438,0.864,0.56,"0"
"06/08/2015 15:00",433.32,14.11,95.45,7.88,39.68,3236.11,10.949,1.353,1.363,10.76,0.25,0.150000000000006,0.29,-0.100000000000001,-627.3,-0.0489999999999995,0.03,-0.193,"0"
"06/08/2015 16:00",439.28,14.21,95.51,7.71,39.7,3490.14,10.729,1.403,1.363,29.63,0.360000000000001,0.230000000000004,0.0199999999999996,-0.0899999999999963,59.0099999999998,-0.00500000000000078,0.0900000000000001,-0.161,"0"
"06/08/2015 17:00",459.08,14.42,95.78,7.65,39.7,3236.46,9.984,1.336,1.502,62.36,0.720000000000001,0.510000000000005,0.0900000000000007,-0.0799999999999983,-69.79,0.153,0.054,0.0369999999999999,"0"
"06/08/2015 18:00",599.91,19.08,96.19,7.66,39.75,3837.78,10.993,1.179,1.503,202.8,5.45,0.709999999999994,-0.0499999999999998,-0.0399999999999991,914.96,0.0080000000000009,-0.307,0.0249999999999999,"0"
"06/08/2015 19:00",601.08,19.47,96.21,7.6,39.81,3494.79,9.792,1.184,1.424,206.65,5.86,0.559999999999988,-0.0900000000000007,0.0200000000000031,231.56,-0.942,0.002,-0.0410000000000001,"0"
"06/08/2015 20:00",600.75,18.73,96.16,7.48,39.83,3918.06,10.731,1.287,1.403,218.22,5.38,0.539999999999992,-0.289999999999999,0.0499999999999972,627.98,-0.00300000000000011,0.0539999999999998,-0.032,"0"
"06/08/2015 21:00",595.21,18.55,96.11,7.56,39.83,3772.54,10.42,1.279,1.416,226.3,5.35,0.510000000000005,-0.220000000000001,0.0399999999999991,580.66,0.528,0.018,0.016,"0"
"06/08/2015 22:00",587.81,18.26,96.2,7.54,39.84,3562.82,10.669,1.39,1.381,221.14,4.87,0.600000000000009,-0.28,0.0400000000000063,407.33,-0.321999999999999,0.00600000000000001,0.024,"0"
